,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ushuaia,90.0,AR,1538175600.0,86.0,-54.81,-68.31,37.4,21.92
1,mahebourg,40.0,MU,1538175600.0,73.0,-20.41,57.7,71.6,10.29
2,santa margherita ligure,0.0,IT,1538175000.0,63.0,44.33,9.21,66.2,6.93
3,port elizabeth,1.0,US,1538175360.0,93.0,39.31,-74.98,66.92,4.38
4,hamilton,20.0,BM,1538171700.0,65.0,32.3,-64.78,78.8,3.36
5,nelson bay,48.0,AU,1538175600.0,45.0,-32.72,152.14,68.0,12.75
7,broken hill,0.0,AU,1538177532.0,50.0,-31.97,141.45,54.42,14.67
8,nikolskoye,0.0,RU,1538175600.0,69.0,59.7,30.79,39.2,6.71
9,maamba,0.0,ZM,1538177534.0,45.0,-17.36,27.22,67.74,5.73
10,caravelas,0.0,BR,1538177535.0,100.0,-17.73,-39.27,77.19,16.46
11,sinnamary,0.0,GF,1538177536.0,94.0,5.38,-52.96,82.59,14.23
12,mataura,80.0,NZ,1538177538.0,62.0,-46.19,168.86,58.74,25.08
13,bethel,20.0,US,1538175180.0,54.0,60.79,-161.76,66.02,18.34
14,sao filipe,0.0,CV,1538177541.0,93.0,14.9,-24.5,79.17,17.92
15,atuona,76.0,PF,1538177542.0,100.0,-9.8,-139.03,79.53,10.65
16,torbay,90.0,CA,1538175600.0,100.0,47.66,-52.73,51.8,11.41
17,baruun-urt,80.0,MN,1538177544.0,87.0,46.68,113.28,35.34,9.31
18,kosa,92.0,RU,1538177545.0,98.0,59.94,54.99,40.83,5.39
19,hermanus,56.0,ZA,1538177547.0,91.0,-34.42,19.24,44.61,1.92
20,saldanha,8.0,PT,1538177548.0,69.0,41.42,-6.55,60.27,6.62
21,new norfolk,20.0,AU,1538175600.0,46.0,-42.78,147.06,50.0,23.04
22,sorland,80.0,NO,1538177550.0,100.0,67.67,12.69,45.96,25.97
23,diffa,0.0,NE,1538177551.0,63.0,13.32,12.61,78.9,6.17
24,hami,20.0,CN,1538177552.0,59.0,42.84,93.51,38.94,3.27
25,awbari,44.0,LY,1538177553.0,73.0,26.59,12.77,66.12,2.82
26,enderby,1.0,CA,1538175600.0,42.0,50.55,-119.14,66.2,10.29
27,san patricio,0.0,PY,1538177556.0,80.0,-26.98,-56.83,77.91,4.38
28,albany,75.0,US,1538175900.0,77.0,42.65,-73.75,59.0,3.36
30,kempele,0.0,FI,1538176800.0,92.0,64.91,25.51,30.2,2.24
31,tessalit,32.0,ML,1538177560.0,32.0,20.2,1.01,77.64,6.06
32,contepec,56.0,MX,1538177562.0,92.0,19.95,-100.16,57.39,3.27
33,dikson,64.0,RU,1538177563.0,89.0,73.51,80.55,40.02,14.67
34,busselton,76.0,AU,1538177564.0,100.0,-33.64,115.35,59.46,20.15
35,akdepe,0.0,TM,1538175600.0,54.0,42.05,59.39,53.6,4.7
36,high level,75.0,CA,1538175600.0,26.0,58.52,-117.13,44.6,14.99
37,vaini,92.0,IN,1538177567.0,98.0,15.34,74.49,68.73,2.15
38,calvia,20.0,ES,1538175600.0,88.0,39.57,2.51,62.6,1.92
39,kapaa,75.0,US,1538175360.0,79.0,22.08,-159.32,84.92,17.22
40,lebu,20.0,ET,1538175600.0,47.0,8.96,38.73,59.0,9.17
41,grand gaube,40.0,MU,1538175600.0,73.0,-20.01,57.66,71.6,10.29
42,rikitea,92.0,PF,1538177573.0,100.0,-23.12,-134.97,71.88,4.83
44,hilo,20.0,US,1538175360.0,63.0,19.71,-155.08,87.08,12.75
45,gubkinskiy,44.0,RU,1538177404.0,64.0,64.43,76.5,56.76,23.29
46,itarema,0.0,BR,1538177577.0,78.0,-2.92,-39.92,77.37,14.45
47,camabatela,44.0,AO,1538177578.0,95.0,-8.19,15.37,64.5,0.58
48,kruisfontein,88.0,ZA,1538177579.0,84.0,-34.0,24.73,60.45,23.85
49,punta arenas,0.0,CL,1538175600.0,100.0,-53.16,-70.91,41.0,8.05
50,hithadhoo,92.0,MV,1538177582.0,100.0,-0.6,73.08,79.26,19.82
51,muta,48.0,SI,1538175600.0,81.0,46.61,15.17,53.6,1.12
52,khatanga,12.0,RU,1538177584.0,90.0,71.98,102.47,40.83,12.88
53,teya,75.0,MX,1538174640.0,52.0,21.05,-89.07,91.4,11.41
54,birao,12.0,CF,1538177587.0,87.0,10.3,22.78,73.95,1.48
55,karpathos,0.0,GR,1538175000.0,69.0,35.51,27.21,73.4,5.82
56,barreirinhas,0.0,BR,1538177347.0,68.0,-2.75,-42.83,80.25,14.79
57,antipolo,40.0,PH,1538172000.0,100.0,14.59,121.18,80.6,2.24
58,atar,0.0,MR,1538177591.0,30.0,20.52,-13.05,77.28,6.06
59,zihuatanejo,75.0,MX,1538174520.0,74.0,17.64,-101.55,84.2,9.17
61,jacareacanga,12.0,BR,1538177594.0,81.0,-6.22,-57.76,79.62,2.26
62,worland,1.0,US,1538175180.0,48.0,44.02,-107.96,55.94,9.17
63,strelka,0.0,RU,1538177597.0,87.0,58.08,93.03,39.93,9.53
64,zhezkazgan,0.0,KZ,1538177598.0,80.0,47.8,67.71,36.51,2.93
65,serro,80.0,BR,1538177599.0,52.0,-18.6,-43.38,74.67,3.15
66,leshukonskoye,92.0,RU,1538177600.0,99.0,64.9,45.76,40.92,3.94
67,callaway,1.0,US,1538176500.0,56.0,46.98,-95.91,44.06,9.17
69,xining,0.0,CN,1538177580.0,71.0,36.62,101.77,23.91,3.71
70,norman wells,75.0,CA,1538175600.0,59.0,65.28,-126.83,37.4,16.11
71,bredasdorp,36.0,ZA,1538175600.0,62.0,-34.53,20.04,55.4,5.82
72,roros,48.0,NO,1538175000.0,59.0,62.57,11.38,33.8,6.93
73,mareeba,20.0,AU,1538175600.0,48.0,-16.99,145.42,82.4,19.46
74,lysva,92.0,RU,1538177609.0,99.0,58.11,57.8,41.37,18.25
76,punta alta,0.0,AR,1538175600.0,69.0,-27.46,-55.82,80.6,3.36
77,derzhavinsk,8.0,KZ,1538177613.0,86.0,51.1,66.31,38.22,8.08
78,volgodonsk,0.0,RU,1538177614.0,96.0,47.51,42.17,45.06,2.93
79,tasiilaq,0.0,GL,1538175000.0,30.0,65.61,-37.64,42.8,28.86
80,hambantota,36.0,LK,1538177616.0,100.0,6.12,81.12,77.55,11.65
81,esperance,20.0,TT,1538175600.0,88.0,10.24,-61.45,80.6,7.96
83,kaitangata,32.0,NZ,1538177619.0,69.0,-46.28,169.85,59.19,11.65
84,fortuna,0.0,ES,1538175600.0,82.0,38.18,-1.13,68.0,4.7
85,kunming,90.0,CN,1538172000.0,93.0,25.04,102.71,55.4,6.71
86,teguldet,56.0,RU,1538177623.0,77.0,57.31,88.17,48.3,8.75
87,cidreira,56.0,BR,1538177624.0,92.0,-30.17,-50.22,66.93,20.15
88,salalah,75.0,OM,1538175000.0,74.0,17.01,54.1,78.8,3.36
89,solnechnyy,0.0,RU,1538177626.0,66.0,50.72,136.64,55.05,2.59
90,east london,0.0,ZA,1538177361.0,100.0,-33.02,27.91,65.31,30.33
91,saint-augustin,0.0,FR,1538175600.0,63.0,44.83,-0.61,66.2,8.05
92,neiafu,75.0,TO,1538175600.0,69.0,-18.65,-173.98,78.8,8.05
93,cape town,20.0,ZA,1538175600.0,81.0,-33.93,18.42,48.2,3.36
95,sainte-maxime,8.0,FR,1538175600.0,76.0,43.31,6.64,66.2,1.12
96,kodiak,90.0,US,1538175180.0,60.0,39.95,-94.76,53.06,10.29
97,leningradskiy,88.0,RU,1538177635.0,91.0,69.38,178.42,42.0,16.8
98,bambous virieux,40.0,MU,1538175600.0,73.0,-20.34,57.76,71.6,10.29
99,saint george,75.0,GR,1538175000.0,63.0,39.45,22.34,60.8,8.05
100,ribeira grande,32.0,PT,1538177639.0,100.0,38.52,-28.7,73.23,12.55
101,pala,75.0,IN,1538175600.0,94.0,9.71,76.68,77.0,1.81
102,kingussie,92.0,GB,1538176800.0,81.0,57.08,-4.05,48.2,17.22
103,provideniya,92.0,RU,1538177642.0,86.0,64.42,-173.23,48.21,27.2
104,cherskiy,32.0,RU,1538177643.0,86.0,68.75,161.3,37.32,3.15
105,upernavik,88.0,GL,1538177644.0,100.0,72.79,-56.15,33.63,16.13
106,port alfred,0.0,ZA,1538177646.0,85.0,-33.59,26.89,63.06,26.98
107,cayenne,20.0,GF,1538175600.0,88.0,4.94,-52.33,80.6,5.82
108,castro,80.0,CL,1538177648.0,100.0,-42.48,-73.76,48.21,8.41
110,praia,75.0,BR,1538175600.0,50.0,-20.25,-43.81,78.8,11.41
112,atasu,0.0,KZ,1538177357.0,77.0,48.68,71.64,35.79,2.82
113,bulls,12.0,NZ,1538177654.0,90.0,-40.17,175.39,54.42,19.26
114,hofn,0.0,IS,1538177655.0,96.0,64.25,-15.21,45.69,33.91
115,bara,48.0,NG,1538177656.0,90.0,10.41,10.6,71.16,8.41
116,airai,0.0,TL,1538177657.0,62.0,-8.93,125.41,76.11,2.37
117,dhidhdhoo,92.0,MV,1538177658.0,100.0,6.88,73.1,78.9,14.0
118,havelock,1.0,US,1538175480.0,93.0,34.88,-76.9,82.94,4.7
119,okhotsk,8.0,RU,1538177661.0,85.0,59.36,143.24,42.99,16.46
